"NewDate","Category","count"
"2012-10","Consumer Financial Questions",1
"2012-10","Family and Children",2
"2012-11","Consumer Financial Questions",2
"2012-11","Family and Children",3
"2012-11","Other",1
"2012-12","Consumer Financial Questions",8
"2012-12","Family and Children",44
"2012-12","Health and Disability",2
"2012-12","Housing and Homelessness",4
"2012-12","Income Maintenance",1
"2012-12","Individual Rights",1
"2012-12","Other",8
"2012-12","Work, Employment and Unemployment",4
"2013-01","Consumer Financial Questions",6
"2013-01","Family and Children",38
"2013-01","Health and Disability",1
"2013-01","Housing and Homelessness",6
"2013-01","Individual Rights",1
"2013-01","Other",11
"2013-01","Work, Employment and Unemployment",10
"2013-02","Consumer Financial Questions",4
"2013-02","Family and Children",34
"2013-02","Health and Disability",1
"2013-02","Housing and Homelessness",6
"2013-02","Income Maintenance",2
"2013-02","Other",19
"2013-02","Work, Employment and Unemployment",3
"2013-03","Consumer Financial Questions",6
"2013-03","Family and Children",36
"2013-03","Housing and Homelessness",9
"2013-03","Other",10
"2013-03","Work, Employment and Unemployment",3
"2013-04","Consumer Financial Questions",6
"2013-04","Education",1
"2013-04","Family and Children",55
"2013-04","Health and Disability",1
"2013-04","Housing and Homelessness",13
"2013-04","Other",12
"2013-04","Work, Employment and Unemployment",5
"2013-05","Consumer Financial Questions",10
"2013-05","Education",2
"2013-05","Family and Children",63
"2013-05","Housing and Homelessness",14
"2013-05","Individual Rights",1
"2013-05","Other",13
"2013-05","Work, Employment and Unemployment",3
"2013-06","Consumer Financial Questions",10
"2013-06","Family and Children",66
"2013-06","Housing and Homelessness",21
"2013-06","Income Maintenance",1
"2013-06","Individual Rights",4
"2013-06","Other",15
"2013-06","Work, Employment and Unemployment",5
"2013-07","Consumer Financial Questions",24
"2013-07","Education",1
"2013-07","Family and Children",86
"2013-07","Health and Disability",3
"2013-07","Housing and Homelessness",30
"2013-07","Income Maintenance",2
"2013-07","Individual Rights",2
"2013-07","Juvenile",2
"2013-07","Other",31
"2013-07","Work, Employment and Unemployment",5
"2013-08","Consumer Financial Questions",26
"2013-08","Education",3
"2013-08","Family and Children",118
"2013-08","Health and Disability",1
"2013-08","Housing and Homelessness",18
"2013-08","Income Maintenance",1
"2013-08","Individual Rights",3
"2013-08","Other",26
"2013-08","Work, Employment and Unemployment",7
"2013-09","Consumer Financial Questions",8
"2013-09","Education",2
"2013-09","Family and Children",145
"2013-09","Health and Disability",2
"2013-09","Housing and Homelessness",35
"2013-09","Income Maintenance",1
"2013-09","Individual Rights",5
"2013-09","Juvenile",1
"2013-09","Other",47
"2013-09","Work, Employment and Unemployment",5
"2013-10","Consumer Financial Questions",26
"2013-10","Education",1
"2013-10","Family and Children",129
"2013-10","Health and Disability",1
"2013-10","Housing and Homelessness",20
"2013-10","Income Maintenance",2
"2013-10","Juvenile",1
"2013-10","Other",29
"2013-10","Work, Employment and Unemployment",8
"2013-11","Consumer Financial Questions",24
"2013-11","Family and Children",117
"2013-11","Health and Disability",4
"2013-11","Housing and Homelessness",29
"2013-11","Income Maintenance",1
"2013-11","Individual Rights",7
"2013-11","Other",42
"2013-11","Work, Employment and Unemployment",7
"2013-12","Consumer Financial Questions",9
"2013-12","Family and Children",102
"2013-12","Health and Disability",3
"2013-12","Housing and Homelessness",18
"2013-12","Income Maintenance",1
"2013-12","Individual Rights",3
"2013-12","Other",24
"2013-12","Work, Employment and Unemployment",12
"2014-01","Consumer Financial Questions",23
"2014-01","Education",1
"2014-01","Family and Children",126
"2014-01","Health and Disability",7
"2014-01","Housing and Homelessness",24
"2014-01","Individual Rights",3
"2014-01","Juvenile",2
"2014-01","Other",32
"2014-01","Work, Employment and Unemployment",4
"2014-02","Consumer Financial Questions",21
"2014-02","Education",1
"2014-02","Family and Children",97
"2014-02","Health and Disability",4
"2014-02","Housing and Homelessness",18
"2014-02","Individual Rights",2
"2014-02","Juvenile",2
"2014-02","Other",26
"2014-02","Work, Employment and Unemployment",5
"2014-03","Consumer Financial Questions",12
"2014-03","Education",2
"2014-03","Family and Children",118
"2014-03","Health and Disability",2
"2014-03","Housing and Homelessness",19
"2014-03","Income Maintenance",1
"2014-03","Individual Rights",2
"2014-03","Other",30
"2014-03","Work, Employment and Unemployment",11
"2014-04","Consumer Financial Questions",17
"2014-04","Education",4
"2014-04","Family and Children",144
"2014-04","Health and Disability",5
"2014-04","Housing and Homelessness",26
"2014-04","Income Maintenance",3
"2014-04","Individual Rights",5
"2014-04","Juvenile",4
"2014-04","Other",33
"2014-04","Work, Employment and Unemployment",6
"2014-05","Consumer Financial Questions",14
"2014-05","Education",1
"2014-05","Family and Children",147
"2014-05","Health and Disability",4
"2014-05","Housing and Homelessness",45
"2014-05","Income Maintenance",4
"2014-05","Individual Rights",4
"2014-05","Juvenile",2
"2014-05","Other",27
"2014-05","Work, Employment and Unemployment",4
"2014-06","Consumer Financial Questions",20
"2014-06","Education",1
"2014-06","Family and Children",133
"2014-06","Housing and Homelessness",37
"2014-06","Income Maintenance",3
"2014-06","Individual Rights",3
"2014-06","Juvenile",2
"2014-06","Other",41
"2014-06","Work, Employment and Unemployment",13
"2014-07","Consumer Financial Questions",26
"2014-07","Family and Children",117
"2014-07","Health and Disability",1
"2014-07","Housing and Homelessness",36
"2014-07","Income Maintenance",1
"2014-07","Individual Rights",4
"2014-07","Juvenile",2
"2014-07","Other",44
"2014-07","Work, Employment and Unemployment",4
"2014-08","Consumer Financial Questions",22
"2014-08","Family and Children",127
"2014-08","Health and Disability",3
"2014-08","Housing and Homelessness",34
"2014-08","Income Maintenance",1
"2014-08","Individual Rights",4
"2014-08","Other",46
"2014-08","Work, Employment and Unemployment",13
"2014-09","Consumer Financial Questions",14
"2014-09","Education",2
"2014-09","Family and Children",136
"2014-09","Health and Disability",3
"2014-09","Housing and Homelessness",41
"2014-09","Income Maintenance",1
"2014-09","Individual Rights",7
"2014-09","Juvenile",1
"2014-09","Other",42
"2014-09","Work, Employment and Unemployment",10
"2014-10","Consumer Financial Questions",22
"2014-10","Education",2
"2014-10","Family and Children",121
"2014-10","Health and Disability",2
"2014-10","Housing and Homelessness",37
"2014-10","Income Maintenance",1
"2014-10","Individual Rights",6
"2014-10","Juvenile",2
"2014-10","Other",39
"2014-10","Work, Employment and Unemployment",8
"2014-11","Consumer Financial Questions",16
"2014-11","Education",2
"2014-11","Family and Children",110
"2014-11","Health and Disability",1
"2014-11","Housing and Homelessness",39
"2014-11","Income Maintenance",1
"2014-11","Individual Rights",3
"2014-11","Juvenile",3
"2014-11","Other",29
"2014-11","Work, Employment and Unemployment",12
"2014-12","Consumer Financial Questions",24
"2014-12","Education",2
"2014-12","Family and Children",128
"2014-12","Health and Disability",5
"2014-12","Housing and Homelessness",34
"2014-12","Income Maintenance",2
"2014-12","Individual Rights",5
"2014-12","Other",31
"2014-12","Work, Employment and Unemployment",10
"2015-01","Consumer Financial Questions",16
"2015-01","Education",3
"2015-01","Family and Children",142
"2015-01","Health and Disability",2
"2015-01","Housing and Homelessness",34
"2015-01","Income Maintenance",2
"2015-01","Individual Rights",7
"2015-01","Juvenile",2
"2015-01","Other",46
"2015-01","Work, Employment and Unemployment",13
"2015-02","Consumer Financial Questions",25
"2015-02","Family and Children",119
"2015-02","Health and Disability",2
"2015-02","Housing and Homelessness",42
"2015-02","Individual Rights",6
"2015-02","Juvenile",1
"2015-02","Other",40
"2015-02","Work, Employment and Unemployment",10
"2015-03","Consumer Financial Questions",20
"2015-03","Family and Children",164
"2015-03","Health and Disability",3
"2015-03","Housing and Homelessness",28
"2015-03","Income Maintenance",5
"2015-03","Individual Rights",3
"2015-03","Juvenile",3
"2015-03","Other",45
"2015-03","Work, Employment and Unemployment",14
"2015-04","Consumer Financial Questions",19
"2015-04","Education",2
"2015-04","Family and Children",165
"2015-04","Health and Disability",2
"2015-04","Housing and Homelessness",46
"2015-04","Income Maintenance",5
"2015-04","Individual Rights",5
"2015-04","Juvenile",3
"2015-04","Other",42
"2015-04","Work, Employment and Unemployment",6
